countryID,name,population,latitude,longitude
1,Algeria,43053054,28.033886,1.659626
2,Andorra,77142,42.506285,1.521801
3,Argentina,44938712,-38.416097,-63.616672
4,Armenia,2957731,40.069099,45.038189
5,Australia,25766605,-25.274398,133.775136
6,Austria,8877067,47.516231,14.550072
7,Bahamas,407906,25.03428,-77.39628
8,Bahrain,1501635,26.0667,50.5577
9,Belgium,11484055,50.503887,4.469936
10,Bermuda,63764,32.321384,-64.75737
11,Brazil,212559417,-14.235004,-51.92528
12,British Virgin Islands,31122,18.420695,-64.639968
13,Cambodia,16486542,12.565679,104.990963
14,Canada,36991981,56.130366,-106.346771
15,Cayman Islands,68136,19.513469,-80.566956
16,Chile,18952038,-35.675147,-71.542969
17,China,1397715000,35.86166,104.195397
18,Colombia,50339443,4.570868,-74.297333
19,Cyprus,1198575,35.126413,33.429859
20,Czech Republic,10669709,49.817492,15.472962
21,Denmark,5818553,56.26392,9.501785
22,Egypt,100388073,26.820553,30.802498
23,Eswatini (Swaziland),1192271,-26.522503,31.465866
24,Finland,5520314,61.92411,25.748151
25,France,67059887,46.227638,2.213749
26,Georgia,3720382,42.315407,43.356892
27,Germany,83132799,51.165691,10.451526
28,Greece,10716322,39.074208,21.824312
29,Guernsey,63463,49.465691,-2.585278
30,Hong Kong,7413100,22.396428,114.109497
31,Hungary,9769949,47.162494,19.503304
32,India,1366417754,20.593684,78.96288
33,Indonesia,270203917,-0.789275,113.921327
34,Ireland,5033164,53.41291,-8.24389
35,Israel,9053300,31.046051,34.851612
36,Italy,60297396,41.87194,12.56738
37,Japan,126226568,36.204824,138.252924
38,Kazakhstan,18513930,48.019573,66.923684
39,Latvia,1912789,56.879635,24.603189
40,Lebanon,6855713,33.854721,35.862285
41,Liechtenstein,38019,47.1410392,9.520935
42,Luxembourg,645397,49.815273,6.129583
43,Malaysia,32447385,4.210484,101.975766
44,Mexico,126014024,23.634501,-102.552784
45,Monaco,38964,43.7384176,7.4246158
46,Morocco,36910560,31.791702,-7.09262
47,Nepal,28608710,28.394857,84.124008
48,Netherlands,17332850,52.132633,5.291266
49,New Zealand,4841000,-40.900557,174.885971
50,Nigeria,200963599,9.081999,8.675277
51,Norway,5347896,60.472024,8.468946
52,Oman,5266535,21.4735329,55.975413
53,Peru,32510453,-9.189967,-75.015152
54,Philippines,108116615,12.879721,121.774017
55,Poland,37970874,51.919438,19.145136
56,Portugal,10269417,39.399872,-8.224454
57,Qatar,2832067,25.354826,51.183884
58,Romania,19356544,45.943161,24.96676
59,Russia,144373535,61.52401,105.318756
60,Singapore,5703569,1.352083,103.819836
61,Slovakia,5454073,48.669026,19.699024
62,South Africa,58558270,-30.559482,22.937506
63,South Korea,51709098,35.907757,127.766922
64,Spain,47076781,40.463667,-3.74922
65,Sweden,10285453,60.128161,18.643501
66,Switzerland,8574832,46.818188,8.227512
67,Taiwan,24859912,23.69781,120.960515
68,Tanzania,58005463,-6.369028,34.888822
69,Thailand,69625582,15.870032,100.992541
70,Turkey,83429615,38.963745,35.243322
71,Turks and Caicos Islands,45114,21.694025,-71.797928
72,Ukraine,44385155,48.379433,31.16558
73,United Arab Emirates,9770529,23.424076,53.847818
74,United Kingdom,66834405,55.378051,-3.435973
75,United States,328239523,37.09024,-95.712891
76,Uruguay,3461734,-32.522779,-55.765835
77,Uzbekistan,33580650,41.377491,64.585262
78,Vietnam,96462106,14.058324,108.277199
